init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,1.0,0.5,1.0,L50,7.28,0.3
2.0,1.0,0.5,1.0,L100,6.64,0.16
2.0,1.0,0.5,1.5,L0,7.68,0.76
2.0,1.0,0.5,1.5,L50,6.88,0.34
2.0,1.0,0.5,1.5,L100,6.96,0.28
2.0,1.0,0.5,2.0,L0,8.64,1.34
2.0,1.0,0.5,2.0,L50,8.96,0.84
2.0,1.0,0.5,2.0,L100,7.2,0.36
2.0,1.0,0.5,2.5,L0,8.32,1.38
2.0,1.0,0.5,2.5,L50,7.44,0.96
2.0,1.0,0.5,2.5,L100,7.68,0.68
2.0,1.0,0.5,3.0,L0,8.96,2.0
2.0,1.0,0.5,3.0,L50,7.76,1.32
2.0,1.0,0.5,3.0,L100,8.08,0.64
2.0,1.0,0.5,3.5,L0,8.96,1.74
2.0,1.0,0.5,3.5,L50,8.08,1.34
2.0,1.0,0.5,3.5,L100,8.56,0.62
2.0,1.0,0.5,4.0,L0,8.4,2.32
2.0,1.0,0.5,4.0,L50,7.76,1.62
2.0,1.0,0.5,4.0,L100,8.56,0.66
2.0,1.0,0.5,4.5,L0,10.48,1.4
2.0,1.0,0.5,4.5,L50,9.12,1.54
2.0,1.0,0.5,4.5,L100,8.16,1.24
2.0,1.0,0.5,5.0,L0,10.24,1.62
2.0,1.0,0.5,5.0,L50,9.28,1.28
2.0,1.0,0.5,5.0,L100,8.24,1.42
2.0,1.0,0.55,1.0,L0,6.96,0.54
2.0,1.0,0.55,1.0,L50,6.88,0.24
2.0,1.0,0.55,1.0,L100,7.12,0.24
2.0,1.0,0.55,1.5,L0,7.28,1.32
2.0,1.0,0.55,1.5,L50,6.96,0.38
2.0,1.0,0.55,1.5,L100,7.36,0.36
2.0,1.0,0.55,2.0,L0,8.64,1.14
2.0,1.0,0.55,2.0,L50,8.08,0.74
2.0,1.0,0.55,2.0,L100,7.28,0.34
2.0,1.0,0.55,2.5,L0,8.24,1.62
2.0,1.0,0.55,2.5,L50,8.16,1.18
2.0,1.0,0.55,2.5,L100,7.68,0.36
2.0,1.0,0.55,3.0,L0,8.88,1.9
2.0,1.0,0.55,3.0,L50,8.08,0.96
2.0,1.0,0.55,3.0,L100,7.76,0.6
2.0,1.0,0.55,3.5,L0,8.48,2.06
2.0,1.0,0.55,3.5,L50,8.88,1.14
2.0,1.0,0.55,3.5,L100,8.64,0.68
2.0,1.0,0.55,4.0,L0,8.88,2.0
2.0,1.0,0.55,4.0,L50,10.08,1.22
2.0,1.0,0.55,4.0,L100,9.2,0.96
2.0,1.0,0.55,4.5,L0,9.68,1.98
2.0,1.0,0.55,4.5,L50,9.52,1.26
2.0,1.0,0.55,4.5,L100,8.16,0.9
2.0,1.0,0.55,5.0,L0,9.28,3.0
2.0,1.0,0.55,5.0,L50,9.04,1.52
2.0,1.0,0.55,5.0,L100,9.2,1.18
2.0,1.0,0.6000000000000001,1.0,L0,7.44,0.38
2.0,1.0,0.6000000000000001,1.0,L50,7.28,0.32
2.0,1.0,0.6000000000000001,1.0,L100,6.96,0.26
2.0,1.0,0.6000000000000001,1.5,L0,7.6,1.14
2.0,1.0,0.6000000000000001,1.5,L50,7.2,0.4
2.0,1.0,0.6000000000000001,1.5,L100,7.28,0.28
2.0,1.0,0.6000000000000001,2.0,L0,8.0,1.4
2.0,1.0,0.6000000000000001,2.0,L50,8.16,0.62
2.0,1.0,0.6000000000000001,2.0,L100,7.6,0.26
2.0,1.0,0.6000000000000001,2.5,L0,8.8,1.16
2.0,1.0,0.6000000000000001,2.5,L50,7.68,0.98
2.0,1.0,0.6000000000000001,2.5,L100,7.92,0.48
2.0,1.0,0.6000000000000001,3.0,L0,8.64,1.64
2.0,1.0,0.6000000000000001,3.0,L50,8.0,1.0
2.0,1.0,0.6000000000000001,3.0,L100,8.4,0.9
2.0,1.0,0.6000000000000001,3.5,L0,7.84,1.72
2.0,1.0,0.6000000000000001,3.5,L50,8.72,1.38
2.0,1.0,0.6000000000000001,3.5,L100,8.24,0.76
2.0,1.0,0.6000000000000001,4.0,L0,8.56,2.26
2.0,1.0,0.6000000000000001,4.0,L50,9.2,1.12
2.0,1.0,0.6000000000000001,4.0,L100,8.48,1.0
2.0,1.0,0.6000000000000001,4.5,L0,8.4,1.78
2.0,1.0,0.6000000000000001,4.5,L50,8.4,2.04
2.0,1.0,0.6000000000000001,4.5,L100,9.04,0.92
2.0,1.0,0.6000000000000001,5.0,L0,9.6,1.72
2.0,1.0,0.6000000000000001,5.0,L50,10.0,1.78
2.0,1.0,0.6000000000000001,5.0,L100,8.64,0.92
2.0,1.0,0.6500000000000001,1.0,L0,7.36,0.64
2.0,1.0,0.6500000000000001,1.0,L50,7.12,0.32
2.0,1.0,0.6500000000000001,1.0,L100,6.96,0.26
2.0,1.0,0.6500000000000001,1.5,L0,7.36,0.66
2.0,1.0,0.6500000000000001,1.5,L50,6.96,0.34
2.0,1.0,0.6500000000000001,1.5,L100,7.2,0.28
2.0,1.0,0.6500000000000001,2.0,L0,8.24,1.04
2.0,1.0,0.6500000000000001,2.0,L50,7.2,0.68
2.0,1.0,0.6500000000000001,2.0,L100,7.6,0.32
2.0,1.0,0.6500000000000001,2.5,L0,8.8,1.16
2.0,1.0,0.6500000000000001,2.5,L50,8.48,0.82
2.0,1.0,0.6500000000000001,2.5,L100,8.08,0.46
2.0,1.0,0.6500000000000001,3.0,L0,9.04,1.56
2.0,1.0,0.6500000000000001,3.0,L50,7.92,0.82
2.0,1.0,0.6500000000000001,3.0,L100,7.84,0.54
