Time,Eye,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,Confidence,Attention,Attention Details
0.6681061,Left,-0.01597021,2.284564,0.09243403,-0.1226468,1.223229,4.846511,41.06556,-8.074872,4.693058,39.9916,0.9980469,1,BG,BG
0.6681061,Right,-0.01597021,2.284564,0.09243403,-0.3860495,1.216948,4.834253,41.56391,-10.24554,4.694818,39.99353,0.9980469,1,BG,BG
0.6829224,Left,-0.01714267,2.284081,0.0938849,-0.1226468,1.223229,4.846511,41.07418,-8.036528,4.821494,39.99155,0.9980469,1,BG,BG
0.6829224,Right,-0.01714267,2.284081,0.0938849,-0.3860495,1.216948,4.834253,41.57063,-10.20717,4.823652,39.99357,0.9980469,1,BG,BG
0.7086353,Left,-0.01935984,2.283169,0.09690601,-0.09588089,1.194807,4.854198,41.00918,-7.752939,4.81652,39.98093,0.9980469,1,BG,BG
0.7086353,Right,-0.01935984,2.283169,0.09690601,-0.3598044,1.189043,4.843214,41.49122,-9.920347,4.819306,39.98389,0.9980469,1,BG,BG
0.7234745,Left,-0.020449,2.282668,0.09838372,-0.07487768,1.13207,4.86958,40.93318,-7.562389,4.414714,39.98738,0.9980469,1,BG,BG
0.7234745,Right,-0.020449,2.282668,0.09838372,-0.3392121,1.127158,4.85947,41.40241,-9.725699,4.417111,39.98811,0.9980469,1,BG,BG
0.7507744,Left,-0.02238971,2.281791,0.1015361,-0.07487768,1.13207,4.86958,40.9461,-7.543751,4.7388,39.96406,0.9980469,1,BG,BG
0.7507744,Right,-0.02238971,2.281791,0.1015361,-0.3392121,1.127158,4.85947,41.41473,-9.70758,4.74401,39.9647,0.9980469,1,BG,BG
0.7654285,Left,-0.02327063,2.281648,0.1032396,-0.02694353,1.003718,4.898145,40.7957,-7.143461,3.796136,39.98553,0.9980469,1,BG,BG
0.7654285,Right,-0.02327063,2.281648,0.1032396,-0.2919903,1.000536,4.890161,41.24142,-9.299125,3.801171,39.98538,0.9980469,1,BG,BG
0.7928505,Left,-0.02475067,2.281773,0.1070081,-0.03015209,0.9625164,4.906389,40.78091,-7.179624,3.602849,39.98153,0.9980469,1,BG,BG
0.7928505,Right,-0.02475067,2.281773,0.1070081,-0.2951937,0.959401,4.898205,41.22789,-9.334806,3.606767,39.98085,0.9980469,1,BG,BG
0.8073616,Left,-0.02532004,2.281939,0.1090802,-0.03015209,0.9625164,4.906389,40.79975,-7.201075,3.633205,39.99203,0.9980469,1,BG,BG
0.8073616,Right,-0.02532004,2.281939,0.1090802,-0.2951937,0.959401,4.898205,41.24763,-9.357441,3.638896,39.99084,0.9980469,1,BG,BG
0.8214836,Left,-0.02578085,2.282094,0.1112412,-0.03048075,0.9637126,4.906152,40.80548,-7.237697,3.642042,39.99239,0.9980469,1,BG,BG
0.8214836,Right,-0.02578085,2.282094,0.1112412,-0.2955172,0.9602403,4.898021,41.25454,-9.394607,3.648231,39.99042,0.9980469,1,BG,BG
0.8489017,Left,-0.02620106,2.282293,0.1160047,-0.03048075,0.9637126,4.906152,40.81325,-7.259037,3.658325,39.99015,0.9980469,1,BG,BG
0.8489017,Right,-0.02620106,2.282293,0.1160047,-0.2955172,0.9602403,4.898021,41.26442,-9.416756,3.677541,39.98784,0.9980469,1,BG,BG
0.8634682,Left,-0.02631861,2.28237,0.1185043,-0.04282908,1.014657,4.895778,40.87749,-7.361547,4.108176,39.99588,0.9980469,1,BG,BG
0.8634682,Right,-0.02631861,2.28237,0.1185043,-0.3076601,1.009782,4.887299,41.33632,-9.522977,4.127729,39.99541,0.9980469,1,BG,BG
0.8907528,Left,-0.02644399,2.282553,0.1238101,-0.02844999,1.00926,4.896997,40.85023,-7.276688,4.025949,39.99208,0.9980469,1,BG,BG
0.8907528,Right,-0.02644399,2.282553,0.1238101,-0.293407,1.003138,4.889543,41.30174,-9.43602,4.041741,39.98943,0.9980469,1,BG,BG
0.9054165,Left,-0.02628071,2.282596,0.1265828,-0.02844999,1.00926,4.896997,40.85831,-7.303236,3.966668,39.99865,0.9980469,1,BG,BG
0.9054165,Right,-0.02628071,2.282596,0.1265828,-0.293407,1.003138,4.889543,41.31266,-9.463603,3.987018,39.99688,0.9980469,1,BG,BG
0.9316044,Left,-0.02570242,2.282588,0.1323153,-0.02469045,1.002824,4.89834,40.84301,-7.333428,3.796508,39.99427,0.9980469,1,BG,BG
0.9316044,Right,-0.02570242,2.282588,0.1323153,-0.2896245,0.9953805,4.891353,41.29622,-9.492756,3.81245,39.99035,0.9980469,1,BG,BG
