init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,true_last_word_mjidx,gaze_positions_list,true_last_word_memory_list,gaze_positions_list
3.0,4.5,0.6,3.0,L0,90,6,4.0,32,"[0.1841195281855613, 0.22129188568415556]","[0.14884999153518866, 0.14720590757510899]","[36, 36]"
3.0,4.5,0.6,3.0,L0,91,6,4.0,32,"[0.1841195281855613, 0.22129188568415556]","[0.14884999153518866, 0.14720590757510899]","[36, 36]"
3.0,4.5,0.6,3.0,L0,92,6,2.0,35,"[0.3584202452802066, 0.4762080383506274]","[0.19939365029699865, 0.19728727731657003]","[33, 33]"
3.0,4.5,0.6,3.0,L0,93,10,0.0,32,"[0.1934209682745648, 0.23750528701838822, 0.40335810972667446]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[28, 32, 32]"
3.0,4.5,0.6,3.0,L0,94,6,4.0,26,"[0.14148825291062095, 0.16819053148141958]","[0.19939365029699863, 0.19728727731657006]","[30, 30]"
3.0,4.5,0.6,3.0,L0,95,6,1.0,29,"[0.21271648119222733, 0.2743800827258827]","[0.14884999153518863, 0.14720590757510899]","[30, 30]"
3.0,4.5,0.6,3.0,L0,96,14,1.0,35,"[0.09363468695555516, 0.09837175055244363, 0.16470005788109982, 0.36497249644622626]","[0.19939365029699865, 0.19728727731657003, 0.19576223701628293, 0.1943588011155757]","[26, 30, 34, 34]"
3.0,4.5,0.6,3.0,L0,97,10,2.0,25,"[0.30317378818442026, 0.3881794541406371, 0.3380206794744575]","[0.24537589071508778, 0.24228230294217007, 0.2400471833731285]","[26, 27, 27]"
3.0,4.5,0.6,3.0,L0,98,10,1.0,32,"[0.2944313227045806, 0.3772382140560123, 0.3155207468938446]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[32, 33, 33]"
3.0,4.5,0.6,3.0,L0,99,10,1.0,35,"[0.11662395047936389, 0.13243725151554342, 0.38054128004462234]","[0.19939365029699865, 0.19728727731657003, 0.19576223701628293]","[30, 34, 34]"
3.0,4.5,0.6,3.0,L0,100,6,3.0,26,"[0.23395212964460388, 0.288810296496332]","[0.19939365029699863, 0.19728727731657006]","[29, 29]"
3.0,4.5,0.6,3.0,L0,101,14,1.0,31,"[0.25170715804657123, 0.3194574672731156, 0.20471614083539078, 0.3561229667873657]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963, 0.1413021086932789]","[29, 28, 32, 32]"
3.0,4.5,0.6,3.0,L0,102,6,0.0,33,"[0.34426068512169256, 0.4486873418788341]","[0.15714452042882812, 0.15551393749492282]","[33, 33]"
3.0,4.5,0.6,3.0,L0,103,10,1.0,32,"[0.2944313227045806, 0.3772382140560123, 0.3155207468938446]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[32, 33, 33]"
3.0,4.5,0.6,3.0,L0,104,10,0.0,35,"[0.14148825291062095, 0.16819053148141958, 0.3521354113066876]","[0.19939365029699865, 0.19728727731657003, 0.19576223701628293]","[31, 35, 35]"
3.0,4.5,0.6,3.0,L0,105,10,1.0,30,"[0.17313059400562997, 0.21522513674976548, 0.281230175352746]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[27, 31, 31]"
3.0,4.5,0.6,3.0,L0,106,14,0.0,33,"[0.12396913894906618, 0.139301563236266, 0.266013008882293, 0.3928759215383992]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582, 0.15326958389872292]","[25, 29, 33, 33]"
3.0,4.5,0.6,3.0,L0,107,6,8.0,28,"[0.12396913894906621, 0.139301563236266]","[0.1571445204288281, 0.15551393749492284]","[36, 36]"
3.0,4.5,0.6,3.0,L0,108,6,0.0,33,"[0.34426068512169256, 0.4486873418788341]","[0.15714452042882812, 0.15551393749492282]","[33, 33]"
3.0,4.5,0.6,3.0,L0,109,6,3.0,30,"[0.2344801143140192, 0.29583762798204755]","[0.14526078844766527, 0.14358691513360786]","[33, 33]"
3.0,4.5,0.6,3.0,L0,110,6,1.0,30,"[0.2110757964091043, 0.27290364717036725]","[0.14526078844766527, 0.14358691513360786]","[31, 31]"
3.0,4.5,0.6,3.0,L0,111,14,0.0,32,"[0.11780140295174098, 0.13283629604321662, 0.30478427188027923, 0.3048301211945084]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818, 0.14495526431009323]","[27, 31, 32, 32]"
3.0,4.5,0.6,3.0,L0,112,10,0.0,29,"[0.18411952818556132, 0.22129188568415553, 0.3941825541732306]","[0.14884999153518863, 0.14720590757510899, 0.14602876154737818]","[25, 29, 29]"
3.0,4.5,0.6,3.0,L0,113,6,8.0,25,"[0.11420045416001454, 0.12040071935037298]","[0.24537589071508778, 0.24228230294217007]","[33, 33]"
3.0,4.5,0.6,3.0,L0,114,10,0.0,36,"[0.19734013326871053, 0.2352882578153484, 0.4795201525945476]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844]","[32, 36, 36]"
3.0,4.5,0.6,3.0,L0,115,6,0.0,33,"[0.34426068512169256, 0.4486873418788341]","[0.15714452042882812, 0.15551393749492282]","[33, 33]"
3.0,4.5,0.6,3.0,L0,116,6,1.0,34,"[0.2453048753804388, 0.3136114012560498]","[0.172556925711752, 0.17082853840049234]","[35, 35]"
3.0,4.5,0.6,3.0,L0,117,6,4.0,27,"[0.13884431083782997, 0.166800252608387]","[0.17255692571175196, 0.17082853840049236]","[31, 31]"
3.0,4.5,0.6,3.0,L0,118,6,0.0,31,"[0.21901065545825288, 0.28386230056025596]","[0.14526078844766527, 0.14358691513360786]","[31, 31]"
3.0,4.5,0.6,3.0,L0,119,6,3.0,31,"[0.17313059400562994, 0.21522513674976546]","[0.14526078844766527, 0.14358691513360786]","[34, 34]"
3.0,4.5,0.6,3.0,L0,120,6,0.0,31,"[0.21901065545825288, 0.28386230056025596]","[0.14526078844766527, 0.14358691513360786]","[31, 31]"
3.0,4.5,0.6,3.0,L0,121,6,3.0,28,"[0.16516828846008633, 0.20636569226954274]","[0.1571445204288281, 0.15551393749492284]","[31, 31]"
