agent_name,layout,event_update_level,num_attention_switches,num_attention_switches_margins,num_attention_switches_middle,inform_loss,reading_speed,total_steps,attention_switches_time_steps_list
agent_a,L0,short,19,9,10,6,0.8403,119,"[10, 18, 21, 30, 31, 41, 43, 52, 53, 62, 66, 75, 86, 87, 88, 89, 98, 99, 110]"
agent_a,L0,short,18,10,8,8,0.8475,118,"[9, 18, 20, 31, 40, 42, 52, 54, 63, 66, 75, 77, 78, 87, 89, 99, 108, 110]"
agent_a,L0,short,15,14,1,14,0.8696,115,"[4, 10, 20, 31, 40, 49, 58, 60, 69, 73, 83, 92, 100, 110, 111]"
agent_a,L50,short,17,8,9,4,0.8547,117,"[10, 19, 29, 40, 49, 50, 61, 71, 80, 81, 89, 90, 91, 92, 94, 104, 114]"
agent_a,L50,short,20,8,12,3,0.8333,120,"[10, 19, 20, 30, 31, 41, 50, 52, 61, 63, 72, 73, 83, 84, 85, 87, 96, 106, 115, 117]"
agent_a,L50,short,13,6,7,5,0.885,113,"[5, 11, 20, 30, 39, 41, 51, 61, 72, 82, 93, 102, 104]"
agent_a,L50,short,22,9,13,4,0.8197,122,"[4, 10, 21, 22, 23, 24, 34, 43, 45, 55, 64, 65, 66, 76, 78, 80, 82, 91, 101, 102, 112, 114]"
agent_a,L50,short,20,12,8,10,0.8333,120,"[5, 12, 21, 30, 39, 49, 51, 61, 70, 71, 72, 75, 76, 77, 79, 88, 92, 101, 110, 112]"
agent_a,L50,short,16,4,12,17,0.8621,116,"[5, 11, 20, 31, 33, 43, 52, 53, 54, 63, 64, 68, 78, 88, 101, 110]"
agent_a,L50,short,15,7,8,5,0.8696,115,"[10, 19, 21, 23, 32, 42, 44, 45, 56, 66, 76, 86, 88, 98, 108]"
agent_a,L50,short,16,7,9,10,0.8621,116,"[4, 10, 20, 29, 33, 43, 52, 61, 70, 71, 82, 91, 92, 102, 104, 114]"
agent_a,L50,short,16,10,6,6,0.8621,116,"[6, 12, 21, 31, 40, 43, 53, 55, 65, 66, 68, 79, 88, 97, 106, 108]"
agent_a,L50,short,17,7,10,8,0.8547,117,"[6, 12, 21, 30, 32, 41, 43, 54, 55, 56, 57, 67, 77, 86, 88, 98, 109]"
agent_a,L50,short,12,5,7,12,0.8929,112,"[4, 11, 21, 30, 39, 41, 53, 62, 73, 82, 92, 103]"
agent_a,L50,short,13,8,5,13,0.885,113,"[5, 12, 21, 31, 40, 49, 58, 61, 74, 84, 94, 103, 104]"
agent_a,L50,short,14,9,5,17,0.8772,114,"[4, 13, 22, 24, 35, 46, 56, 65, 74, 84, 94, 103, 104, 106]"
agent_a,L50,short,18,7,11,11,0.8475,118,"[12, 19, 28, 29, 39, 40, 41, 42, 43, 45, 55, 66, 75, 86, 95, 104, 105, 116]"
agent_a,L50,short,20,12,8,6,0.8333,120,"[6, 12, 22, 32, 41, 50, 52, 53, 62, 63, 72, 73, 76, 85, 94, 95, 105, 106, 115, 116]"
agent_a,L50,short,20,10,10,19,0.8333,120,"[4, 12, 21, 30, 34, 46, 56, 65, 74, 76, 77, 79, 88, 89, 98, 99, 100, 101, 110, 113]"
agent_a,L50,short,19,6,13,4,0.8403,119,"[10, 19, 28, 29, 30, 31, 32, 33, 43, 54, 63, 73, 74, 84, 94, 103, 104, 113, 116]"
agent_a,L50,short,19,13,6,6,0.8403,119,"[4, 11, 21, 30, 32, 41, 51, 60, 61, 62, 71, 74, 83, 85, 94, 95, 105, 106, 108]"
agent_a,L50,short,17,8,9,14,0.8547,117,"[4, 14, 24, 33, 43, 52, 60, 62, 71, 80, 81, 91, 101, 109, 110, 111, 112]"
agent_a,L50,short,21,11,10,5,0.8264,121,"[4, 10, 21, 22, 23, 33, 42, 46, 55, 57, 66, 68, 77, 79, 88, 98, 99, 100, 102, 111, 113]"
agent_a,L50,short,21,11,10,2,0.8264,121,"[5, 11, 20, 29, 30, 31, 42, 43, 53, 62, 63, 65, 66, 76, 85, 86, 97, 106, 115, 116, 117]"
agent_a,L50,short,12,7,5,40,0.8929,112,"[14, 25, 37, 48, 56, 65, 74, 83, 91, 92, 102, 109]"
agent_a,L50,short,16,4,12,5,0.8621,116,"[5, 11, 21, 33, 43, 45, 54, 57, 66, 75, 76, 85, 86, 96, 105, 107]"
