init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,gaze_positions_list
2.0,0.5,0.8,4.5,L50,44,22,0.0,"[13, 17, 21, 22, 23, 23]"
2.0,0.5,0.8,4.5,L50,45,14,0.0,"[17, 21, 22, 22]"
2.0,0.5,0.8,4.5,L50,46,10,1.0,"[17, 18, 18]"
2.0,0.5,0.8,4.5,L50,47,10,0.0,"[15, 16, 16]"
2.0,0.5,0.8,4.5,L50,48,10,0.0,"[13, 17, 17]"
2.0,0.5,0.8,4.5,L50,49,10,1.0,"[21, 22, 22]"
2.0,0.5,0.8,4.5,L50,50,6,2.0,"[21, 21]"
2.0,0.5,0.8,4.5,L100,1,6,1.0,"[8, 8]"
2.0,0.5,0.8,4.5,L100,2,14,0.0,"[9, 10, 11, 11]"
2.0,0.5,0.8,4.5,L100,3,10,1.0,"[5, 6, 6]"
2.0,0.5,0.8,4.5,L100,4,10,0.0,"[2, 6, 6]"
2.0,0.5,0.8,4.5,L100,5,6,0.0,"[8, 8]"
2.0,0.5,0.8,4.5,L100,6,10,0.0,"[6, 10, 10]"
2.0,0.5,0.8,4.5,L100,7,10,0.0,"[6, 7, 7]"
2.0,0.5,0.8,4.5,L100,8,10,1.0,"[2, 6, 6]"
2.0,0.5,0.8,4.5,L100,9,14,0.0,"[3, 2, 6, 6]"
2.0,0.5,0.8,4.5,L100,10,10,1.0,"[5, 6, 6]"
2.0,0.5,0.8,4.5,L100,11,6,3.0,"[7, 7]"
2.0,0.5,0.8,4.5,L100,12,6,0.0,"[12, 12]"
2.0,0.5,0.8,4.5,L100,13,14,0.0,"[3, 2, 6, 6]"
2.0,0.5,0.8,4.5,L100,14,6,0.0,"[2, 2]"
2.0,0.5,0.8,4.5,L100,15,10,0.0,"[5, 6, 6]"
2.0,0.5,0.8,4.5,L100,16,6,5.0,"[8, 8]"
2.0,0.5,0.8,4.5,L100,17,6,1.0,"[8, 8]"
2.0,0.5,0.8,4.5,L100,18,10,0.0,"[3, 4, 4]"
2.0,0.5,0.8,4.5,L100,19,14,0.0,"[4, 3, 7, 7]"
2.0,0.5,0.8,4.5,L100,20,10,0.0,"[1, 2, 2]"
2.0,0.5,0.8,4.5,L100,21,62,0.0,"[10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 12, 12]"
2.0,0.5,0.8,4.5,L100,22,6,1.0,"[6, 6]"
2.0,0.5,0.8,4.5,L100,23,6,4.0,"[9, 9]"
2.0,0.5,0.8,4.5,L100,24,10,1.0,"[5, 6, 6]"
2.0,0.5,0.8,4.5,L100,25,6,2.0,"[7, 7]"
2.0,0.5,0.8,4.5,L100,26,10,1.0,"[5, 6, 6]"
2.0,0.5,0.8,4.5,L100,27,6,4.0,"[9, 9]"
2.0,0.5,0.8,4.5,L100,28,6,1.0,"[10, 10]"
2.0,0.5,0.8,4.5,L100,29,6,2.0,"[3, 3]"
2.0,0.5,0.8,4.5,L100,30,10,0.0,"[9, 10, 10]"
2.0,0.5,0.8,4.5,L100,31,6,2.0,"[3, 3]"
2.0,0.5,0.8,4.5,L100,32,14,2.0,"[2, 6, 10, 10]"
2.0,0.5,0.8,4.5,L100,33,6,1.0,"[6, 6]"
2.0,0.5,0.8,4.5,L100,34,14,2.0,"[2, 1, 5, 5]"
2.0,0.5,0.8,4.5,L100,35,6,0.0,"[12, 12]"
2.0,0.5,0.8,4.5,L100,36,10,1.0,"[1, 2, 2]"
2.0,0.5,0.8,4.5,L100,37,6,0.0,"[2, 2]"
2.0,0.5,0.8,4.5,L100,38,10,0.0,"[8, 12, 12]"
2.0,0.5,0.8,4.5,L100,39,10,0.0,"[10, 11, 11]"
2.0,0.5,0.8,4.5,L100,40,6,4.0,"[7, 7]"
2.0,0.5,0.8,4.5,L100,41,6,0.0,"[12, 12]"
2.0,0.5,0.8,4.5,L100,42,14,0.0,"[4, 3, 7, 7]"
2.0,0.5,0.8,4.5,L100,43,10,0.0,"[1, 2, 2]"
2.0,0.5,0.8,4.5,L100,44,10,2.0,"[6, 10, 10]"
2.0,0.5,0.8,4.5,L100,45,14,2.0,"[2, 1, 5, 5]"
2.0,0.5,0.8,4.5,L100,46,6,0.0,"[10, 10]"
2.0,0.5,0.8,4.5,L100,47,6,0.0,"[10, 10]"
2.0,0.5,0.8,4.5,L100,48,10,1.0,"[9, 10, 10]"
2.0,0.5,0.8,4.5,L100,49,10,1.0,"[1, 2, 2]"
2.0,0.5,0.8,4.5,L100,50,6,4.0,"[10, 10]"
2.0,0.5,0.8500000000000001,4.0,L0,1,14,2.0,"[26, 25, 29, 29]"
